Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,,Sony PSP3004/BP/Piano Black,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY SF4C4/B2T,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY SF8C4/TB8,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY TDG-BR250/B(3D GLASSES),Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY USM4GL,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY USM4GN,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY USM4GR/BC,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY USM8GR/BC,Sony,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,SONY UWA-BR100,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY VCT-R100//C AE,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY VMC-BDA//C SYH(CONNECTING CARD),Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SOTC BAG,SOTC,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,TIMEX ZR32-MENS WATCH,TIMEX,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,TIMEX ZR33-SILVER,TIMEX,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,TIMEX ZR34-DUAL-TONE,TIMEX,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,KAFF KC2BK,KAFF,COOK TOP,KAFF COOK TOP,0,Y,N,CE,,,,,,,
,,KAFF KC60 GBK,KAFF,COOK TOP,KAFF COOK TOP,0,Y,N,CE,,,,,,,
,,KAFF KC70 GBK,KAFF,COOK TOP,KAFF COOK TOP,0,Y,N,CE,,,,,,,
,,KAFF KC70SS GI(Auto lgnition),KAFF,COOK TOP,KAFF COOK TOP,0,Y,N,CE,,,,,,,
,,ANTIQUITY AEW1634,Accessories,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,IGO I-COOK VESSEL,Accessories,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,KENSTAR  SANDUCHTASFER,KENSTAR,DHA,MIXER,0,Y,N,CE,,,,,,,
,,PHILIPS HL1616,Obsolele Product,DHA,MIXER,0,Y,N,CE,,,,,,,
,,PHILIPS HL1631J,Obsolele Product,DHA,MIXER,0,Y,N,CE,,,,,,,
,,VIDEOCON KJY50W2A-DBB,Videocon,DHA,JMG,0,Y,N,CE,,,,,,,
,,VIDEOCON KMR50W3S-MDP,Videocon,DHA,MG,0,Y,N,CE,,,,,,,
,,PHILIPS DH458,Obsolele Product,SPEAKER,SPEAKER,0,Y,N,CE,,,,,,,
,,SONY SRS-D9//C,Sony,SPEAKER,SPEAKER,0,Y,N,CE,,,,,,,
