Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Formulation,Pack Type
9201,400000411,HBM Gold - YG01,All Purpose,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000427,HBM Gold - PG01,Cakes & Creams (Aer),,,0,Y,N,Specialty Fats,Case,Ltr,15.04,BP,MT,1114.21,0,no,
9201,400000413,HBM - Y13,All Purpose,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000414,HBM - Y99,All Purpose,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000545,HBM Gold - GG02,Biscuits & Cookies,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000528,HBM - G14,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000598,HBM - R10 (Puff),Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000621,HBM - R5,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000631,HBM - S11,Three In One,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000655,HBM Gold - RG02,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000658,HBM - GT-99 Tin,Biscuits & Cookies,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000656,HBM - R8,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000682,HBM - Y14,All Purpose,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000700,HBM - SG-01,Three In One,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000699,HBM - I-01,Institution,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000719,HBM - GT-98 Tin,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000747,HBM Gold - GG03,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000748,HBM Gold - RG03,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000774,HBM - I-99,Institution,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000753,HBM - G11 (20kg),Biscuits & Cookies,,,0,N,Y,Specialty Fats,Case,Ltr,22.28,BP,MT,1114.21,0,yes,
9201,400000754,HBM - G13 (20kg),Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,22.28,BP,MT,1114.21,0,yes,
9201,400000756,HBM - G14 (20kg),Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,22.28,BP,MT,1114.21,0,yes,
9201,400000757,HBM - R6 (20kg),Puffs & Kharis,,,0,N,Y,Specialty Fats,Case,Ltr,22.28,BP,MT,1114.21,0,yes,
9201,400000758,HBM - R9 (20kg),Puffs & Kharis,,,0,N,Y,Specialty Fats,Case,Ltr,22.28,BP,MT,1114.21,0,yes,
9201,400000778,HBM - G15 - Tin,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000783,HBM - Bake Oil 15 kg Tin,Bake Oil,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000787,HBM - G16 - Tin,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000810,HBM - 20Kg - G17,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,22.28,BP,MT,1114.21,0,yes,
9201,400000821,HBM - R11,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000822,HBM - R12,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000827,HBM - ST 11,Three In One,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
