Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,FG0546,Moong Dal Fried (Nimbu Masala) |17 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0559,GHEE SOAN PAPDI 400g+ BHUJI 400g |800 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0553,CRAZY MAZA |800 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0552,Pj Bhujia (Nimbu Masala) |17 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0551,MITHAI KHAZANA |872 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0550,Pj Bhujia |17 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0554,Pj Moong Dal Fried  |17 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0542,Bhujia |17 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0526,Mix Mazza Box |900 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0528,Namkeen Mazza Box |725 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0560,Pj Khatta Mitha |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0521,PJ Dry Fruit Mix |25 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0519,Pj Jhal Chanachur |25 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0558,Pj Jhal Chanachur |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0557,FUN TIME |650 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0520,Pj Khatta Mitha  |25 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0555,TEMPTING TRIO  |825 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0522,PJ Pasta (Fusilli) |100 Gms.,Category H (PICKLES  PAPAD  PASTA & SEWAI PACKS),PASTA & SEWAI,,0,Y,N,,Pcs.,Case,,,,,0
,FG0523,Pj Peanut Gur Chikki Bar 18g (10 pcs) |180 Gms.,Category I (PACKED SWEETS),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0524,Pj Peanut Gur Chikki Bar 40g (5pcs) |200 Gms.,Category I (PACKED SWEETS),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0556,PJ Hara Matar |17 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0547,Bhandan |890 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0529,Quick Mazza Box |725 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0538,Chatpata  |17 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0537,Elite Box |1225 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0531,Sweetz  |2000 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0539,Fantastic four Box |1368 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0544,Moong Dal Fried  |17 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0527,Twin Mazza Box |1725 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0532,Yummy Mazza Box |350 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0561,PREMIUM GHEE PATISA |600 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0562,Masala Chanachur |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0563,GHEE PATISA 300g + MAYSORE PAK 300G |600 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0564,Khatta Mitha |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0565,AMERICAN CAKE300G+CHOCO BITE 150G+KESAR PISTA BITE 150G+BHUJIA 400G |1000 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0566,Ratlami Sev |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
