Location,Prod_Code,mrp_code,mrp,sale_rate,vertical_value
9208,400000598,,,1082.74,Specialty Fats
9208,400000621,,,1055.33,Specialty Fats
9208,400000631,,,1051.86,Specialty Fats
9208,400000655,,,0,Specialty Fats
9208,400000658,,,0,Specialty Fats
9208,400000656,,,1115.13,Specialty Fats
9208,400000682,,,948.62,Specialty Fats
9208,400000700,,,0,Specialty Fats
9208,400000699,,,1038.4,Specialty Fats
9208,400000719,,,995.26,Specialty Fats
9208,400000747,,,1185.37,Specialty Fats
9208,400000748,,,1222.76,Specialty Fats
9208,400000774,,,1116.21,Specialty Fats
9208,400000753,,,1421.22,Specialty Fats
9208,400000754,,,1384.42,Specialty Fats
9208,400000756,,,1442.21,Specialty Fats
9208,400000757,,,0,Specialty Fats
9208,400000758,,,0,Specialty Fats
9208,400000759,,,0,Specialty Fats
9208,400000778,,,1147.4,Specialty Fats
9208,400000783,,,0,Specialty Fats
9208,400000787,,,1093.84,Specialty Fats
9208,400000810,,,1576.42,Specialty Fats
9208,400000821,,,1211.99,Specialty Fats
9208,400000822,,,1217.44,Specialty Fats
9208,400000827,,,1099.79,Specialty Fats
9208,400000860,,,0,Specialty Fats
9407DD,400000347,,,0,Specialty Fats
9407DD,400000348,,,0,Specialty Fats
9407DD,400000349,,,0,Specialty Fats
9407DD,400000350,,,0,Specialty Fats
9407DD,400000352,,,0,Specialty Fats
9407DD,400000353,,,0,Specialty Fats
9407DD,400000354,,,0,Specialty Fats
9407DD,400000355,,,0,Specialty Fats
9407DD,400000389,,,0,Specialty Fats
9407DD,400000390,,,0,Specialty Fats
9407DD,400000428,,,0,Specialty Fats
9407DD,400000412,,,0,Specialty Fats
9407DD,400000411,,,0,Specialty Fats
9407DD,400000427,,,0,Specialty Fats
9407DD,400000413,,,0,Specialty Fats
9407DD,400000414,,,0,Specialty Fats
9407DD,400000545,,,0,Specialty Fats
9407DD,400000528,,,0,Specialty Fats
9407DD,400000347,,,0,Specialty Fats
9407DD,400000348,,,0,Specialty Fats
9407DD,400000349,,,0,Specialty Fats
9407DD,400000350,,,0,Specialty Fats
9407DD,400000352,,,0,Specialty Fats
9407DD,400000353,,,0,Specialty Fats
9407DD,400000354,,,0,Specialty Fats
9407DD,400000355,,,0,Specialty Fats
9407DD,400000389,,,0,Specialty Fats
9407DD,400000428,,,0,Specialty Fats
9407DD,400000412,,,0,Specialty Fats
9407DD,400000411,,,0,Specialty Fats
9407DD,400000427,,,0,Specialty Fats
9407DD,400000413,,,0,Specialty Fats
9407DD,400000414,,,0,Specialty Fats
9407DD,400000528,,,0,Specialty Fats
9407DD,400000545,,,0,Specialty Fats
9407DD,400000598,,,0,Specialty Fats
9407DD,400000621,,,0,Specialty Fats
9407DD,400000631,,,0,Specialty Fats
9407DD,400000655,,,0,Specialty Fats
9407DD,400000658,,,0,Specialty Fats
9407DD,400000656,,,0,Specialty Fats
