Customer Code,Product Desc,April,April Achv.,April prev year,April prev year Achv.,May,May Achv.,May prev year,May prev year Achv.,June,June Achv.,June prev year,June prev year Achv.,July,July Achv.,July prev year,July prev year Achv.,August,August Achv.,August prev year,August prev year Achv.,September,September Achv.,September prev year,September prev year Achv.,October,October Achv new,October  prev year,October prev year Achv.,November,November Achv.,November  prev year,November prev year Achv.,December,December Achv.,December  prev year,December prev year Achv.,January,January Achv.,January  prev year,January prev year Achv.,February,February Achv.,February  prev year,February prev year Achv.,March,March Achv.,March prev year,March prev year Achv.
WBR094,F000000001,101,87.2,0,0,151,31,0,0,101,0,0,0,101,10,0,0,101,0,0,0,101,0,0,0,80,0,0,0,61,0,0,0,101,0,0,0,101,0,0,0,151,0,0,0,151,0,0,0
WBT056,F000000001,101,0,0,0,80,30,0,0,51,31,0,0,101,68,0,0,101,86.5,0,0,151,47,0,0,101,32,0,0,91,0,0,0,101,0,0,0,101,0,0,0,151,0,0,0,151,0,0,0
WBM096,F000000001,60,35,40,0,50,32,40,0,50,36.5,40,0,40,12,40,0,40,36,40,0,50,24,40,12,50,25,40,30,50,0,40,10,50,0,40,20,60,0,40,40,50,0,40,20,50,0,40,52
WBM097,F000000001,250,296,150,229,150,128.5,200,253,150,201,175,77,150,202,150,79,180,158,150,102,150,178.5,150,145,150,154,200,110,150,0,170,134.5,170,0,200,240,300,0,200,245,250,0,215,177,350,0,250,182
WBB052,F000000001,350,449,200,301,350,523.5,300,318,350,405,170,341,300,468,120,51,300,351.5,150,285.5,300,235,150,343.5,200,222,200,233.5,250,0,200,195.5,350,0,200,349,400,0,200,295,500,0,200,279,550,0,200,587.5
WBM131,F000000001,100,25,100,0,100,0,100,0,100,41,80,40,100,12,80,15,100,0,70,134,100,0,70,86,100,31,85,45,100,0,100,36,100,0,100,38,100,0,100,36,100,0,150,41,100,0,150,28
WBD038,F000000001,600,524,350,621,600,478,500,543,600,460,600,691,600,525,500,282,600,535,600,644,650,315,800,510,300,335.5,800,349,500,0,800,397,600,0,1000,335,900,0,1200,308,1000,0,1200,526,1150,0,1200,598
WBJ018,F000000001,80,62,150,161,100,72,150,101,60,85,140,90,80,64,140,24,80,33,100,41,80,47,120,113,90,84,120,31,100,0,200,41,100,0,150,75,100,0,175,30,150,0,200,55,180,0,200,148
WBM074,F000000001,50,10,0,0,50,0,0,0,50,14,0,0,50,12,0,0,50,0,0,22,50,13,0,25,50,16,0,0,50,0,0,13,50,0,0,14,50,0,0,41,50,0,0,41,50,0,0,26
WBM078,F000000001,120,84,100,16,80,52,100,83,80,72,80,0,80,21.5,80,0,80,11,70,18,60,21,70,29,60,35,85,0,50,0,85,20,70,0,120,10,70,0,120,20,100,0,140,99,150,0,150,104
WBP028,F000000001,250,380,50,0,150,396,90,69,150,181,100,10,180,77,100,11,160,79,80,24,150,120,80,0,50,64,200,0,80,0,100,10,180,0,100,0,270,0,150,167,300,0,150,452.5,350,0,150,472.5
WBE010,F000000001,0,0,40,0,0,44,40,0,0,51,30,10,0,10,30,0,0,0,20,0,0,0,20,0,0,0,30,0,0,0,70,0,0,0,50,0,0,0,50,0,0,0,40,0,0,0,60,11
WBR038,F000000001,0,0,50,0,0,0,125,10,0,0,100,0,0,0,100,0,0,0,100,0,0,0,50,0,0,0,150,0,0,0,100,24,0,0,100,0,0,0,110,0,0,0,120,0,0,0,120,0
WBM090,F000000001,1510,1439,550,398,800,491,770,229,960,39.5,1400,0,950,36,640,0,1250,0,1200,0,1500,0,1480,456.5,580,0,1400,72,1020,0,1400,216.5,1100,0,1600,561.5,1700,0,1850,1633.85,1700,0,1950,1185.45,1920,0,1950,1193.15
WBN028,F000000001,30,27,50,30,30,0,50,18,30,0,90,0,30,0,90,20,30,0,80,0,30,0,80,28,30,0,90,30,50,0,100,30,50,0,120,6,50,0,140,0,80,0,150,10,40,0,150,10
WBT032,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBJ022,F000000001,80,0,130,183,80,56,350,181,80,143,150,90,80,0,150,0,90,0,100,82,120,144,50,214,100,187.5,50,29,100,0,70,36,100,0,100,36,100,0,100,42,120,0,100,44,150,0,150,28
WBP033,F000000001,0,0,30,9,0,0,30,27,0,0,20,9,0,0,20,0,0,0,30,9,0,0,30,12,0,0,50,0,0,0,50,14,0,0,50,0,0,0,30,0,0,0,40,0,0,0,40,0
WBG058,F000000001,80,134,50,80,80,75,190,88,80,56,100,80,100,43,100,0,100,10,80,54,150,12,80,206,80,25,200,43,70,0,100,30,110,0,100,47,140,0,150,80,200,0,200,60,250,0,200,98
WBP052,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBF008,F000000001,0,0,0,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,50,0
WBT044,F000000001,50,0,0,0,30,0,0,10,0,0,0,0,40,0,0,0,50,0,0,0,80,0,0,0,0,0,0,0,0,0,0,66,0,0,0,31,0,0,0,9,0,0,0,0,0,0,0,11
WBS174,F000000001,40,0,50,53,40,0,120,17,40,0,70,0,40,35.5,70,0,40,106,70,0,50,58.75,50,0,50,13,60,0,50,0,70,0,50,0,70,0,50,0,90,0,50,0,110,0,100,0,110,0
WBP059,F000000001,30,0,50,48,30,0,140,99,30,23,100,0,30,0,100,23,30,0,100,89,40,0,50,47,30,0,50,0,30,0,85,0,30,0,100,0,30,0,200,0,30,0,120,0,20,0,120,0
WBJ040,F000000001,60,29,50,57,60,51,120,55,60,75,100,0,50,47,100,10,50,42,70,60,60,67,70,107,50,0,90,22,80,0,90,29,50,0,100,40,80,0,100,12,80,0,120,39,120,0,120,80
WBK042,F000000001,100,112,50,200,100,60,200,140,100,31,200,244,100,40,180,0,100,67,150,24,80,62,150,46,80,0,200,20,80,0,250,0,90,0,250,0,100,0,230,73,120,0,200,55,150,0,200,127
WBP062,F000000001,30,52,50,100,50,0,125,80,30,23,145,10,30,22,100,0,30,11,100,43,30,0,50,56,30,45,50,0,30,0,100,20,30,0,100,33,50,0,100,13,70,0,100,0,70,0,120,11
WBJ043,F000000001,150,103.65,0,0,140,122.5,0,36,130,50,40,58,130,48,40,40,110,74.5,120,153,180,8,120,207,100,202,80,141,180,0,150,46,250,0,150,225.5,260,0,150,182,300,0,100,133,350,0,150,181.5
WBN078,F000000001,40,12,0,0,40,0,0,27,50,0,40,18,50,0,40,0,40,0,120,0,30,13,120,0,30,13,80,0,30,0,150,0,30,0,150,0,30,0,155,0,50,0,100,0,100,0,150,24
WBP066,F000000001,40,15,0,0,40,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,40,0,0,20,40,0,0,25,70,0,0,26,70,0,0,14,70,0,0,15,80,0,0,38,150,0,0,27
WBU014,F000000001,150,84,0,0,150,35,0,0,100,96,0,0,100,45,0,0,250,85,0,0,270,116,0,0,100,73,0,0,200,0,0,0,170,0,0,0,240,0,0,0,270,0,0,64,350,0,0,225
WBA086,F000000001,250,205,0,0,200,294.5,0,0,180,318,0,0,150,304,0,0,200,201,0,0,250,200,0,0,150,202,0,0,180,0,0,0,200,0,0,0,350,0,0,0,350,0,0,0,300,0,0,117.5
